window,scenario,frames,checks,decisions,pep_report_ms,cm_profile_ms,pdp_ms,pe_pep_ms,zta_interaction_ms,control_bytes
189,lane_change,455,50,1,0.085625,0.078292,0.009167,0.022333,0.195417,154
190,collision,455,50,1,0.082084,0.076458,0.008958,0.020584,0.188084,145
191,door_unlock_accel,455,50,2,0.082833,0.070959,0.0085,0.03575,0.198042,309
192,normal,455,50,0,0.085666,0.074875,0.008834,0.000791,0.170166,0
193,speeding,455,50,1,0.079041,0.075667,0.00925,0.020417,0.184375,144
194,harsh_accel,455,50,1,0.082334,0.074041,0.008209,0.018833,0.183417,143
195,lane_change,455,50,1,0.084417,0.07825,0.00925,0.022208,0.194125,154
196,collision,455,50,1,0.091167,0.069792,0.00925,0.02075,0.190959,145
197,door_unlock_accel,455,50,2,0.087917,0.073625,0.0085,0.036208,0.20625,309
198,normal,455,50,0,0.083667,0.079625,0.009167,0.00075,0.173209,0
199,speeding,455,50,1,0.085584,0.076541,0.009167,0.020375,0.191667,144
