scenario,trial,expected_rule,intensity,fired,detected
harsh_accel,22,harsh-acceleration,1.107,harsh-acceleration,True
harsh_accel,23,harsh-acceleration,1.121,harsh-acceleration,True
harsh_accel,24,harsh-acceleration,1.126,harsh-acceleration,True
harsh_accel,25,harsh-acceleration,0.904,harsh-acceleration,True
harsh_accel,26,harsh-acceleration,1.078,harsh-acceleration,True
harsh_accel,27,harsh-acceleration,1.058,harsh-acceleration,True
harsh_accel,28,harsh-acceleration,0.872,harsh-acceleration,True
harsh_accel,29,harsh-acceleration,0.954,harsh-acceleration,True
harsh_accel,30,harsh-acceleration,1.107,harsh-acceleration,True
harsh_accel,31,harsh-acceleration,1.14,harsh-acceleration,True
harsh_accel,32,harsh-acceleration,1.009,harsh-acceleration,True
harsh_accel,33,harsh-acceleration,0.856,harsh-acceleration,True
harsh_accel,34,harsh-acceleration,1.17,harsh-acceleration,True
harsh_accel,35,harsh-acceleration,1.21,harsh-acceleration,True
harsh_accel,36,harsh-acceleration,0.924,harsh-acceleration,True
harsh_accel,37,harsh-acceleration,1.145,harsh-acceleration,True
harsh_accel,38,harsh-acceleration,1.208,harsh-acceleration,True
harsh_accel,39,harsh-acceleration,0.953,harsh-acceleration,True
harsh_accel,40,harsh-acceleration,1.108,harsh-acceleration,True
harsh_accel,41,harsh-acceleration,0.814,harsh-acceleration,True
harsh_accel,42,harsh-acceleration,1.216,harsh-acceleration,True
harsh_accel,43,harsh-acceleration,0.9,harsh-acceleration,True
harsh_accel,44,harsh-acceleration,0.906,harsh-acceleration,True
harsh_accel,45,harsh-acceleration,0.889,harsh-acceleration,True
harsh_accel,46,harsh-acceleration,1.246,harsh-acceleration,True
harsh_accel,47,harsh-acceleration,1.067,harsh-acceleration,True
harsh_accel,48,harsh-acceleration,0.944,harsh-acceleration,True
harsh_accel,49,harsh-acceleration,1.152,harsh-acceleration,True
lane_change,0,abrupt-lane-change,1.22,abrupt-lane-change,True
lane_change,1,abrupt-lane-change,0.997,abrupt-lane-change,True
lane_change,2,abrupt-lane-change,1.175,abrupt-lane-change,True
lane_change,3,abrupt-lane-change,1.178,abrupt-lane-change,True
lane_change,4,abrupt-lane-change,1.013,abrupt-lane-change,True
lane_change,5,abrupt-lane-change,1.175,abrupt-lane-change,True
lane_change,6,abrupt-lane-change,0.96,abrupt-lane-change,True
lane_change,7,abrupt-lane-change,0.81,abrupt-lane-change,True
lane_change,8,abrupt-lane-change,1.09,abrupt-lane-change,True
lane_change,9,abrupt-lane-change,0.852,abrupt-lane-change,True
lane_change,10,abrupt-lane-change,0.918,abrupt-lane-change,True
lane_change,11,abrupt-lane-change,1.132,abrupt-lane-change,True
lane_change,12,abrupt-lane-change,1.001,abrupt-lane-change,True
lane_change,13,abrupt-lane-change,0.903,abrupt-lane-change,True
lane_change,14,abrupt-lane-change,0.854,abrupt-lane-change,True
lane_change,15,abrupt-lane-change,1.162,abrupt-lane-change,True
lane_change,16,abrupt-lane-change,1.162,abrupt-lane-change,True
lane_change,17,abrupt-lane-change,0.912,abrupt-lane-change,True
lane_change,18,abrupt-lane-change,1.241,abrupt-lane-change,True
lane_change,19,abrupt-lane-change,1.174,abrupt-lane-change,True
lane_change,20,abrupt-lane-change,0.975,abrupt-lane-change,True
lane_change,21,abrupt-lane-change,1.215,abrupt-lane-change,True
lane_change,22,abrupt-lane-change,0.897,abrupt-lane-change,True
lane_change,23,abrupt-lane-change,1.121,abrupt-lane-change,True
lane_change,24,abrupt-lane-change,1.032,abrupt-lane-change,True
lane_change,25,abrupt-lane-change,1.166,abrupt-lane-change,True
lane_change,26,abrupt-lane-change,1.231,abrupt-lane-change,True
lane_change,27,abrupt-lane-change,0.968,abrupt-lane-change,True
lane_change,28,abrupt-lane-change,1.196,abrupt-lane-change,True
lane_change,29,abrupt-lane-change,0.813,abrupt-lane-change,True
lane_change,30,abrupt-lane-change,1.066,abrupt-lane-change,True
lane_change,31,abrupt-lane-change,1.221,abrupt-lane-change,True
lane_change,32,abrupt-lane-change,1.061,abrupt-lane-change,True
lane_change,33,abrupt-lane-change,1.217,abrupt-lane-change,True
lane_change,34,abrupt-lane-change,1.099,abrupt-lane-change,True
lane_change,35,abrupt-lane-change,1.127,abrupt-lane-change,True
lane_change,36,abrupt-lane-change,1.016,abrupt-lane-change,True
lane_change,37,abrupt-lane-change,1.165,abrupt-lane-change,True
lane_change,38,abrupt-lane-change,1.128,abrupt-lane-change,True
lane_change,39,abrupt-lane-change,0.867,abrupt-lane-change,True
lane_change,40,abrupt-lane-change,1.103,abrupt-lane-change,True
lane_change,41,abrupt-lane-change,1.19,abrupt-lane-change,True
lane_change,42,abrupt-lane-change,0.968,abrupt-lane-change,True
lane_change,43,abrupt-lane-change,1.142,abrupt-lane-change,True
lane_change,44,abrupt-lane-change,1.183,abrupt-lane-change,True
lane_change,45,abrupt-lane-change,1.001,abrupt-lane-change,True
lane_change,46,abrupt-lane-change,1.177,abrupt-lane-change,True
lane_change,47,abrupt-lane-change,1.236,abrupt-lane-change,True
lane_change,48,abrupt-lane-change,1.04,abrupt-lane-change,True
lane_change,49,abrupt-lane-change,0.929,abrupt-lane-change,True
collision,0,collision-response,1.223,collision-response,True
collision,1,collision-response,1.093,collision-response,True
collision,2,collision-response,0.97,collision-response,True
collision,3,collision-response,1.02,collision-response,True
collision,4,collision-response,0.877,collision-response,True
collision,5,collision-response,0.9,collision-response,True
collision,6,collision-response,0.827,collision-response,True
collision,7,collision-response,1.06,collision-response,True
collision,8,collision-response,1.095,collision-response,True
collision,9,collision-response,1.105,collision-response,True
collision,10,collision-response,1.033,collision-response,True
collision,11,collision-response,0.963,collision-response,True
collision,12,collision-response,0.962,collision-response,True
collision,13,collision-response,0.941,collision-response,True
collision,14,collision-response,1.159,collision-response,True
collision,15,collision-response,0.992,collision-response,True
collision,16,collision-response,0.789,collision-response,True
collision,17,collision-response,1.14,collision-response,True
collision,18,collision-response,1.009,collision-response,True
collision,19,collision-response,0.793,collision-response,True
collision,20,collision-response,1.023,collision-response,True
collision,21,collision-response,1.157,collision-response,True
collision,22,collision-response,0.796,collision-response,True
collision,23,collision-response,1.205,collision-response,True
collision,24,collision-response,0.949,collision-response,True
collision,25,collision-response,0.963,collision-response,True
collision,26,collision-response,1.124,collision-response,True
collision,27,collision-response,0.794,collision-response,True
collision,28,collision-response,1.101,collision-response,True
collision,29,collision-response,0.94,collision-response,True
collision,30,collision-response,0.838,collision-response,True
collision,31,collision-response,1.056,collision-response,True
collision,32,collision-response,0.81,collision-response,True
collision,33,collision-response,1.034,collision-response,True
collision,34,collision-response,1.214,collision-response,True
collision,35,collision-response,0.888,collision-response,True
collision,36,collision-response,1.235,collision-response,True
collision,37,collision-response,1.043,collision-response,True
collision,38,collision-response,0.831,collision-response,True
collision,39,collision-response,0.982,collision-response,True
collision,40,collision-response,1.091,collision-response,True
collision,41,collision-response,0.879,collision-response,True
collision,42,collision-response,1.074,collision-response,True
collision,43,collision-response,1.198,collision-response,True
collision,44,collision-response,1.199,collision-response,True
collision,45,collision-response,1.019,collision-response,True
collision,46,collision-response,1.068,collision-response,True
collision,47,collision-response,1.178,collision-response,True
collision,48,collision-response,1.234,collision-response,True
collision,49,collision-response,0.874,collision-response,True
door_unlock_accel,0,door-unlock-then-accelerate,0.858,door-unlock-then-accelerate|excessive-speeding,True
door_unlock_accel,1,door-unlock-then-accelerate,1.215,door-unlock-then-accelerate|excessive-speeding,True
door_unlock_accel,2,door-unlock-then-accelerate,1.221,door-unlock-then-accelerate|excessive-speeding,True
door_unlock_accel,3,door-unlock-then-accelerate,0.782,door-unlock-then-accelerate|excessive-speeding,True
door_unlock_accel,4,door-unlock-then-accelerate,0.972,door-unlock-then-accelerate|excessive-speeding,True
door_unlock_accel,5,door-unlock-then-accelerate,1.129,door-unlock-then-accelerate|excessive-speeding,True
door_unlock_accel,6,door-unlock-then-accelerate,1.101,door-unlock-then-accelerate|excessive-speeding,True
door_unlock_accel,7,door-unlock-then-accelerate,0.947,door-unlock-then-accelerate|excessive-speeding,True
door_unlock_accel,8,door-unlock-then-accelerate,1.161,door-unlock-then-accelerate|excessive-speeding,True
door_unlock_accel,9,door-unlock-then-accelerate,0.828,door-unlock-then-accelerate|excessive-speeding,True
door_unlock_accel,10,door-unlock-then-accelerate,0.944,door-unlock-then-accelerate|excessive-speeding,True
door_unlock_accel,11,door-unlock-then-accelerate,0.896,door-unlock-then-accelerate|excessive-speeding,True
door_unlock_accel,12,door-unlock-then-accelerate,0.878,door-unlock-then-accelerate|excessive-speeding,True
door_unlock_accel,13,door-unlock-then-accelerate,0.913,door-unlock-then-accelerate|excessive-speeding,True
door_unlock_accel,14,door-unlock-then-accelerate,0.916,door-unlock-then-accelerate|excessive-speeding,True
door_unlock_accel,15,door-unlock-then-accelerate,1.196,door-unlock-then-accelerate|excessive-speeding,True
door_unlock_accel,16,door-unlock-then-accelerate,1.094,door-unlock-then-accelerate|excessive-speeding,True
door_unlock_accel,17,door-unlock-then-accelerate,1.16,door-unlock-then-accelerate|excessive-speeding,True
door_unlock_accel,18,door-unlock-then-accelerate,1.143,door-unlock-then-accelerate|excessive-speeding,True
door_unlock_accel,19,door-unlock-then-accelerate,0.944,door-unlock-then-accelerate|excessive-speeding,True
door_unlock_accel,20,door-unlock-then-accelerate,1.163,door-unlock-then-accelerate|excessive-speeding,True
door_unlock_accel,21,door-unlock-then-accelerate,1.018,door-unlock-then-accelerate|excessive-speeding,True
