attack,trial,detected,reasons,flagged_ids,isolated_nodes
suspension,23,True,rate_error_pct,id=0x133,abs_ecu
suspension,24,True,rate_error_pct,id=0x133,abs_ecu
suspension,25,True,rate_error_pct,id=0x133,abs_ecu
suspension,26,True,rate_error_pct,id=0x133,abs_ecu
suspension,27,True,rate_error_pct,id=0x133,abs_ecu
suspension,28,True,rate_error_pct,id=0x133,abs_ecu
suspension,29,True,rate_error_pct,id=0x133,abs_ecu
suspension,30,True,rate_error_pct,id=0x133,abs_ecu
suspension,31,True,rate_error_pct,id=0x133,abs_ecu
suspension,32,True,rate_error_pct,id=0x133,abs_ecu
suspension,33,True,rate_error_pct,id=0x133,abs_ecu
suspension,34,True,rate_error_pct,id=0x133,abs_ecu
suspension,35,True,rate_error_pct,id=0x133,abs_ecu
suspension,36,True,rate_error_pct,id=0x133,abs_ecu
suspension,37,True,rate_error_pct,id=0x133,abs_ecu
suspension,38,True,rate_error_pct,id=0x133,abs_ecu
suspension,39,True,rate_error_pct,id=0x133,abs_ecu
suspension,40,True,rate_error_pct,id=0x133,abs_ecu
suspension,41,True,rate_error_pct,id=0x133,abs_ecu
suspension,42,True,rate_error_pct,id=0x133,abs_ecu
suspension,43,True,rate_error_pct,id=0x133,abs_ecu
suspension,44,True,rate_error_pct,id=0x133,abs_ecu
suspension,45,True,rate_error_pct,id=0x133,abs_ecu
suspension,46,True,rate_error_pct,id=0x133,abs_ecu
suspension,47,True,rate_error_pct,id=0x133,abs_ecu
suspension,48,True,rate_error_pct,id=0x133,abs_ecu
suspension,49,True,rate_error_pct,id=0x133,abs_ecu
masquerade,0,True,skew_error_ppm,id=0x244,powertrain_ecu
masquerade,1,True,skew_error_ppm,id=0x244,powertrain_ecu
masquerade,2,True,skew_error_ppm,id=0x244,powertrain_ecu
masquerade,3,True,skew_error_ppm,id=0x244,powertrain_ecu
masquerade,4,True,skew_error_ppm,id=0x244,powertrain_ecu
masquerade,5,True,skew_error_ppm,id=0x244,powertrain_ecu
masquerade,6,True,skew_error_ppm,id=0x244,powertrain_ecu
masquerade,7,True,skew_error_ppm,id=0x244,powertrain_ecu
masquerade,8,True,skew_error_ppm,id=0x244,powertrain_ecu
masquerade,9,True,skew_error_ppm,id=0x244,powertrain_ecu
masquerade,10,True,skew_error_ppm,id=0x244,powertrain_ecu
masquerade,11,True,skew_error_ppm,id=0x244,powertrain_ecu
masquerade,12,True,skew_error_ppm,id=0x244,powertrain_ecu
masquerade,13,True,skew_error_ppm,id=0x244,powertrain_ecu
masquerade,14,True,skew_error_ppm,id=0x244,powertrain_ecu
masquerade,15,True,skew_error_ppm,id=0x244,powertrain_ecu
masquerade,16,True,skew_error_ppm,id=0x244,powertrain_ecu
masquerade,17,True,skew_error_ppm,id=0x244,powertrain_ecu
masquerade,18,True,skew_error_ppm,id=0x244,powertrain_ecu
masquerade,19,True,skew_error_ppm,id=0x244,powertrain_ecu
masquerade,20,True,skew_error_ppm,id=0x244,powertrain_ecu
masquerade,21,True,skew_error_ppm,id=0x244,powertrain_ecu
masquerade,22,True,skew_error_ppm,id=0x244,powertrain_ecu
masquerade,23,True,skew_error_ppm,id=0x244,powertrain_ecu
masquerade,24,True,skew_error_ppm,id=0x244,powertrain_ecu
masquerade,25,True,skew_error_ppm,id=0x244,powertrain_ecu
masquerade,26,True,skew_error_ppm,id=0x244,powertrain_ecu
masquerade,27,True,skew_error_ppm,id=0x244,powertrain_ecu
masquerade,28,True,skew_error_ppm,id=0x244,powertrain_ecu
masquerade,29,True,skew_error_ppm,id=0x244,powertrain_ecu
masquerade,30,True,skew_error_ppm,id=0x244,powertrain_ecu
masquerade,31,True,skew_error_ppm,id=0x244,powertrain_ecu
masquerade,32,True,skew_error_ppm,id=0x244,powertrain_ecu
